epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,52.8797,3.15103,5.24217,2.82505,0,0,0,0,3.25077,6.03547,3.24185,1.30081e-05,1.30081e-05,1.30081e-05
18,55.9458,3.00904,5.34403,2.89957,0,0,0,0,3.25077,6.03547,3.24185,1.34206e-05,1.34206e-05,1.34206e-05
19,59.2072,2.82694,5.19548,2.7482,0,0,0,0,3.1454,5.9549,3.23656,1.37859e-05,1.37859e-05,1.37859e-05
20,62.1678,2.84595,5.48396,2.88248,0,0,0,0,3.1454,5.9549,3.23656,1.41041e-05,1.41041e-05,1.41041e-05
21,65.3343,3.25495,5.32092,3.23688,0,0,0,0,3.0441,5.89793,3.19842,1.43752e-05,1.43752e-05,1.43752e-05
22,68.2097,2.98313,5.22571,2.93703,0,0,0,0,3.0441,5.89793,3.19842,1.45992e-05,1.45992e-05,1.45992e-05
23,71.3716,2.88834,5.23588,2.9195,0,0,0,0,3.07855,5.9058,3.20002,1.4776e-05,1.4776e-05,1.4776e-05
24,74.5038,3.06972,5.33308,3.06485,0,0,0,0,3.07855,5.9058,3.20002,1.49057e-05,1.49057e-05,1.49057e-05
25,77.4591,3.06664,5.17508,2.84526,0,0,0,0,3.03424,5.87316,3.19311,1.49883e-05,1.49883e-05,1.49883e-05
26,80.5903,2.90604,5.24851,2.92342,0,0,0,0,3.03424,5.87316,3.19311,1.50238e-05,1.50238e-05,1.50238e-05
27,83.6722,3.01716,5.16722,2.93254,0,0,0,0,3.00022,5.84695,3.21065,1.50121e-05,1.50121e-05,1.50121e-05
28,86.8351,2.89641,5.11294,2.69522,0,0,0,0,3.00022,5.84695,3.21065,1.49533e-05,1.49533e-05,1.49533e-05
29,89.843,2.7914,5.22635,2.79199,0,0,0,0,2.97501,5.84225,3.20815,1.48474e-05,1.48474e-05,1.48474e-05
30,93.096,2.77067,5.10402,2.8881,0,0,0,0,2.97501,5.84225,3.20815,1.46944e-05,1.46944e-05,1.46944e-05
31,96.1863,3.13928,5.21211,2.92325,0,0,0,0,2.95306,5.83761,3.22373,1.44942e-05,1.44942e-05,1.44942e-05
32,99.1218,2.44373,5.10624,2.65716,0,0,0,0,2.95306,5.83761,3.22373,1.42469e-05,1.42469e-05,1.42469e-05
33,102.333,3.00343,5.24567,2.95826,0,0,0,0,2.89931,5.8478,3.22311,1.39525e-05,1.39525e-05,1.39525e-05
