epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49773,2.89399,5.44783,2.94522,0,0,0,0,2.80494,6.0603,3.29287,0,0,0
2,6.79376,2.96424,5.29887,2.76432,0,0,0,0,2.87584,6.08995,3.24848,1.16644e-06,1.16644e-06,1.16644e-06
3,10.2443,3.06107,5.30189,2.931,0,0,0,0,3.01022,6.06868,3.21017,2.28575e-06,2.28575e-06,2.28575e-06
4,13.4744,2.82797,5.30059,2.70963,0,0,0,0,3.07032,5.91359,3.14548,3.35794e-06,3.35794e-06,3.35794e-06
5,16.5941,2.9808,5.3354,2.87449,0,0,0,0,3.0822,5.92265,3.04726,4.38301e-06,4.38301e-06,4.38301e-06
6,20.327,3.06675,5.18045,3.07921,0,0,0,0,3.29202,6.04264,3.20719,5.36095e-06,5.36095e-06,5.36095e-06
7,23.7757,2.73874,5.37209,2.84031,0,0,0,0,3.38439,6.07564,3.14187,6.29177e-06,6.29177e-06,6.29177e-06
8,26.7356,2.93932,5.31931,2.95291,0,0,0,0,3.51227,6.00625,3.13664,7.17546e-06,7.17546e-06,7.17546e-06
9,30.1566,2.77283,5.37121,2.89363,0,0,0,0,3.51862,6.0325,3.14641,8.01203e-06,8.01203e-06,8.01203e-06
